sym,tf,dir,entry,sl,tp,rA,rB,has_idm,swept_entered,bh_a,bh_b,res_a,res_b
ETHUSDT,1h,SELL,2060.92,2087.4276392659626,2016.740601223396,0.0988169934130548,-0.0,True,True,120,120,False,False
ETHUSDT,1h,BUY,2038.81,2010.3115256915776,2086.307457180704,0.9136112389154134,0.936122388850432,True,True,120,120,False,False
ETHUSDT,1h,BUY,2036.63,2023.129236181505,2059.131273030825,1.36192984179784,1.215111677877031,True,True,120,120,False,False
ETHUSDT,1h,SELL,2140.62,2165.878083915099,2098.5231934748344,0.09884448488057122,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2236.06,2267.221547707757,2184.1240871537384,0.12168332073658403,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2298.32,2324.431848927883,2254.8002517868617,0.02736297192478986,-0.0,True,True,120,120,False,False
ETHUSDT,1h,BUY,2186.47,2162.146718298958,2227.0088028350688,1.6666666666666479,1.6666666666666667,True,True,101,101,True,True
ETHUSDT,1h,SELL,2353.05,2387.1485342927426,2296.219109512096,0.043292865024266915,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2419.99,2456.490172743944,2359.1563787600926,0.008645516894459384,-0.0,True,True,120,120,False,False
ETHUSDT,1h,BUY,2318.01,2296.113038213675,2354.5049363105422,-1.0,-1.0,True,True,62,50,True,True
ETHUSDT,1h,BUY,2299.65,2275.3350229130388,2340.174961811602,-1.0,-1.0,True,True,50,49,True,True
ETHUSDT,1h,BUY,2280.01,2253.722643722577,2323.822260462373,0.8351148067888293,0.9327049187395947,True,True,120,120,False,False
ETHUSDT,1h,SELL,2388.22,2419.254519431876,2336.4958009468733,-0.031087975279897807,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2403.17,2432.2754540279047,2354.660909953492,-0.016191443579068675,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2342.92,2354.777952177336,2323.1567463711067,0.03924422557304842,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2361.89,2379.301410600352,2332.870982332746,-0.11322446381647581,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2382.84,2404.061356233436,2347.4710729442745,0.10392877059889363,-0.0,True,True,120,120,False,False
ETHUSDT,1h,BUY,2287.08,2262.047879958468,2328.80020006922,-1.0,-0.808795584205984,True,True,83,120,True,False
ETHUSDT,1h,SELL,2333.68,2356.086592910809,2296.3356784819844,0.07587912267592825,-0.0,True,True,120,120,False,False
