sym,tf,dir,entry,sl,tp,rA,rB,has_ob,filled_ob,bh_a,bh_b,res_a,res_b
ETHUSDT,1h,BUY,2280.01,2253.722643722577,2323.822260462373,1.0945311140153977,1.2711204337001967,True,True,120,120,False,False
ETHUSDT,1h,SELL,2388.22,2419.254519431876,2336.4958009468733,-0.03164566866007138,-0.03164566866005719,True,True,120,120,False,False
ETHUSDT,1h,SELL,2403.17,2432.2754540279047,2354.660909953492,-0.015261954612104335,-0.015261954612104335,True,True,120,120,False,False
ETHUSDT,1h,SELL,2342.92,2354.777952177336,2323.1567463711067,0.03868653219286202,0.03868653219286202,True,True,120,120,False,False
ETHUSDT,1h,SELL,2361.89,2379.301410600352,2332.870982332746,-0.11378215719667155,-0.11378215719667155,True,True,120,120,False,False
ETHUSDT,1h,SELL,2382.84,2404.061356233436,2347.4710729442745,0.1048582595658524,0.1048582595658524,True,True,120,120,False,False
ETHUSDT,1h,BUY,2287.08,2262.047879958468,2328.80020006922,-1.0,-1.0,True,True,83,83,True,True
ETHUSDT,1h,SELL,2333.68,2356.086592910809,2296.3356784819844,0.07680861164288545,0.07680861164290731,True,True,120,120,False,False
ETHUSDT,1h,BUY,2240.42,2209.8047364785984,2291.445439202336,1.3977295450660003,1.5182943137304938,True,True,120,120,False,False
ETHUSDT,1h,SELL,2308.04,2329.726137439419,2271.896437600969,0.0005244869381702779,0.0005244869381702779,True,True,120,120,False,False
ETHUSDT,1h,SELL,2316.97,2330.841567086954,2293.8507215217437,-0.03869038552748718,-0.03869038552745566,True,True,120,120,False,False
ETHUSDT,1h,SELL,2376.19,2401.622480424126,2333.8025326264565,-0.09493207303318443,-0.09493207303318443,True,True,120,120,False,False
ETHUSDT,1h,BUY,2299.6,2275.8937699141266,2339.110383476456,-1.0,-1.0,True,True,88,88,True,True
ETHUSDT,1h,BUY,2291.06,2270.0526287623084,2326.0722853961524,-1.0,-1.0,True,True,111,111,True,True
ETHUSDT,1h,BUY,2281.63,2261.418345873453,2315.3160902109125,1.5926667830147738,1.581958502848047,True,True,120,120,False,False
ETHUSDT,1h,BUY,2281.35,2261.7756307886207,2313.973948685632,1.6666666666666667,1.6666666666666048,True,True,88,88,True,True
ETHUSDT,1h,SELL,2328.76,2348.6983316953365,2295.52944717444,-0.0737726537297351,-0.0737726537297351,True,True,120,120,False,False
ETHUSDT,1h,BUY,2292.84,2273.028481464953,2325.859197558412,-1.0,-1.0,True,True,112,112,True,True
ETHUSDT,1h,BUY,2276.59,2255.107022296384,2312.3949628393607,1.2327115778676363,1.1519762922343668,True,True,120,120,False,False
ETHUSDT,1h,BUY,2250.75,2225.68288884673,2292.528518588784,1.666666666666691,1.666666666666691,True,True,50,50,True,True
ETHUSDT,1h,BUY,2178.91,2161.5808634025966,2207.791894329005,-1.0,-1.0,True,True,71,71,True,True
ETHUSDT,1h,BUY,2174.5,2160.461979782503,2197.896700362495,1.6666666666666559,1.6666666666666559,True,True,84,84,True,True
ETHUSDT,1h,BUY,2133.9,2114.035016667198,2167.00830555467,-1.0,-1.0,True,True,96,96,True,True
ETHUSDT,1h,BUY,2078.18,2056.637277795748,2114.0845370070865,-0.7243058197711768,-0.732679878219385,True,True,120,120,False,False
ETHUSDT,1h,BUY,2068.93,2047.470282073208,2104.696196544653,-1.0,-1.0,True,True,66,66,True,True
ETHUSDT,1h,BUY,2044.89,2026.672069465489,2075.253217557519,1.6666666666666707,1.666666666666704,True,True,100,100,True,True
ETHUSDT,1h,SELL,2116.84,2145.040455186689,2069.839241355518,0.14401544531983512,0.14401544531983512,True,True,120,120,False,False
ETHUSDT,1h,BUY,2028.23,2004.7170577329557,2067.4182371117413,-1.0,-1.0,True,True,61,61,True,True
ETHUSDT,1h,BUY,1995.56,1970.8377092614844,2036.7638178975255,-1.0,-1.0,True,True,107,107,True,True
